;singlp;singnv;singrifos;singasoductos;sinempsufi
Rímac                         ;31.56;12.15;24.5;15.35;15.17
San Juan de Lurigancho        ;28.06;13;49;14.87;25.98
San Juan de Miraflores        ;27.67;14.04;40.7;35.65;20.06
San Luis                      ;35.26;8.18;11.50;17.67;10
San Martin de Porres          ;25.12;11.17;23.1;16.04;14.93
San Miguel                    ;29.05;10.06;16.24;9;13.05
Santa Anita                   ;20.3;17.08;34.2;18.74;18.04
Surco                         ;11.23;20.09;15.65;8.07;13.2
Surquillo                     ;21;18.36;21.85;13.87;14.82
Villa el Salvador             ;9.12;34.16;37.52;38.98;19.98
Villa María del Triunfo       ;10.05;38.18;9.1;39.06;8
Callao                        ;33.07;7.12;32.11;21.35;17.92
Carmen de la Legua            ;22.09;14.78;8.03;22.03;7.54
Ate                           ;19.98;17.89;50.2;14.93;25.02
Carabayllo                    ;12.78;20.65;37.07;13.78;18.84
Comas                         ;17.05;19.76;24.21;16.06;15.08
Chorrillos                    ;7.08;45.12;35.07;40.08;18.93
Agustino                      ;21.03;15.76;40.12;23.82;20.13
Independencia                 ;22.02;14.98;22.48;12.67;14.07
Jesús María                   ;23.45;13.17;14.68;18.89;13.05
La Victoria                   ;26.06;11.78;24.67;19.07;15.01
Lima                          ;25.89;12.67;27;11.01;16.72
Lince                         ;36;9.15;20.2;7.98;14.91
Lurigancho-Chosica            ;21.76;15.07;63.80;30.07;26.78
Magdalena del Mar             ;22.04;13.09;15.15;22.06;13.03
Pueblo Libre                  ;23.65;12;13.01;13.13;12.62
Miraflores                    ;23.98;11.56;14.40;14.17;12.93
